HENRYK SIENKIEWICZ	Henryk Sienkiewicz
- gondolta magában.	"Gì thế nhỉ?
- Ez a kutya vagy megzavarodott a szomjúságtól, vagy vizet érez.	- Em nghĩ thầm - Hoặc là con chó đã hóa điên vì quá khát, hoặc là nó cảm thấy có nước đâu đây.
De nem!...	Nhưng mà không!...
Ha itt a közelben víz volna, odarohant volna, hogy igyék, és most vizes volna a szája.	Giá như có nguồn nước gần đây thì nó đã phải chạy ngay tới uống và mõm nó phải ướt chứ.
Ha pedig messze van, akkor nem érezné... a víznek nincsen szaga... Antilopokhoz nem rángatna, hiszen este már nem akart enni.	Nếu như nước ở xa thì hẳn là nó không ngửi thấy... nước không có mùi... Còn nếu có linh dương thì chắ c nó không muốn ăn.
Ragadozókhoz sem... De akkor mi az?...	Thú dữ chắc cũ ng không phải... Vậy thì là cái gì?
Odarohant a csomaghoz, melyben a rakéták voltak, széttépte, kivett egyet, remegő kézzel kötözte egy bambuszvesszőhöz, a botot beszúrta a földbe, tüzet csiholt, s meggyújtotta a cső végén kilógó kanócot.	Một giây sau, một con rắn đỏ vừa kêu rít vừa bay lên cao, Xtas ôm chặt hai tay vào cây cọc tre để khỏi ngã và dán mắt nhìn về phía xa.
Egy pillanat múlva sziszegve, sisteregve röppent fel a vörös tűzkígyó.	Mạch ở tay em và ở thái dương em đập mạnh như búa, môi em mấp máy những câu cầu nguyện khẩn thiết.
Staś két kézzel kapaszkodott a bambuszba, hogy el ne essék, s a távolba meredt.	Em gửi hơi thở cuối cùng của mình trong đó chứa đựng cả tâm hồn đến với Đức Chúa.
Elmúlt egy perc, azután a másik, a harmadik, a negyedik.	Một phút trôi qua, rồi hai, ba, bốn phút.
Keze lehanyatlott, feje lekókadt, s mérhetetlen elkeseredés öntötte el megkínzott szívét.	Hai tay cậu bé buông thõng xuống, đầu gục xuống phía mặt đất và một nỗi tủi hận trào lên trong lồng ngực đã quá đau khổ của em.
- gondolta.	- Em thì thào.
- Elmegyek, leülök Nel mellé, s meghalunk együtt.	- Ta sẽ đến, ngồi xuống cạnh Nen và sẽ chết cùng em!
- Itt a segítség! - ordította Staś.	- Cứu tinh... - Xtas kêu lên.
S megtörtént, hogy az imént még félholtan heverő emberek felugráltak, s egymással verse­nyezve iramodtak előre.	Thế là những người vừa như chết dở mới đây lao dậy chạy như đua nhau vượt qua những bụi thạch thảo và những bụi cỏ.
Az első rakéta után felröppent a második és harmadik.	Sau cái pháo hiệu thứ nhất tiếp đến cái thứ hai rồi thứ ba.
A szellő kopogó hangokat hozott, melyekben könnyű volt felismerni a távoli puskaropogást.	Sau đó hơi gió mang lại tiếng gì như tiếng gõ mà người ta dễ dàng nhận ra đó là tiếng súng xa xa.
Staś minden remingtonból lövetett, s ettől fogva többé nem szűnt meg a fegyverek egyre hango­sabbá váló beszélgetése.	Xtas ra lệnh cho tất cả các khẩu súng rêmingtơn đều phát hỏa, thế là từ đó cuộc đối thoại của những khẩu súng trường không ngơi nghỉ một giây, mỗi lúc càng nghe rõ hơn lên.
Staś a ló hátán ült, mely csodálatos módon szintén visszanyerte erejét, s Nelt maga előtt tartva vágtatott a síkságon át a megváltó hangok felé.	Cậu bé nhảy lên lưng ngựa, con ngựa dường như cũng được một phép thần nào đó trả lại cho sức lực, và giữ chặt Nen trước yên, Xtas phi như bay về phía những thanh âm cứu tinh, xuyên qua đồng bằng.
Mellette futott Sába, s nyomukban dübörgött az óriási King.	Con Xaba chạy theo bên cạnh, phía sau là con King khổng lồ với nhữ ng bước chân thình thịch.
A két tábort jó néhány kilométernyi távolság választotta el egymástól, de mivel mindkét irányból egyszerre közeledtek egymáshoz, az egész út nem tartott sokáig.	Hai trại cách nhau chừng vài cây số, nhưng vì người ta lao đến với nhau từ cả hai phía đồng thời, nên quãng đường đó chẳng phải đi mất bao lâu.
Rövidesen a puskák tüzét már nemcsak hallani, de látni is lehetett.	Chẳng mấy chốc, không những chỉ nghe mà còn thấy được nhữ ng phát súng bắn nữa.
Még egy rakéta röppent fel, de már alig néhány száz lépésnyire.	Lại thêm một chiếc pháo hiệu bay lên không trung, cách đấy cùng lắm chỉ vài trăm bước chân.
Azután számos tűzfény villant.	Rồi nhiều ánh đuốc sáng bừng lên.
A talaj csekély emelkedése egy pillanatra eltakarta, de amint Staś a dombra ért, közvetlenül előtte bukkant fel egy csomó szerecsen, kezükben fáklyával.	Mặt đất hơi nhô cao che khuất chúng đi trong giây lát, nhưng khi Xtas vừa vượt qua được thì em gần như đột ngột chạm ngay vào một hàng rào người da đen đang cầm trong tay những bó đuốc chá y rừng rực.
A csapatot két európai férfi vezette angol sisakban, kezükben fegyverrel.	Dẫn đầu đoàn là hai người u đội mũ kiểu Anh và cầm súng.
Staś azonnal felismerte bennük Glen kapitányt és Clary doktort.	Chỉ cần thoáng qua Xtas đã nhận ra ngay đó chính là đại uý Glen và bác sĩ Clery.
XLVI.	Chương 46:
Glen kapitány és Clary doktor is tudtak arról, hogy a gyerekeket Medinet el-Faiyumból elrabolták, mert erről mind az angol, mind az arab lapok hírt adtak, de meg voltak győződve róla, hogy vagy meghaltak már mind a ketten, vagy pedig Mahdi rabságában sínylődnek, ahonnan eddig még egyetlen európai sem került ki élve.	Mặ c dù cả đại uý lẫn bác sĩ đều biết tin về việc bọn trẻ bị bắt cóc từ Mêđinét En Phaium (vì các nhật báo Anh và Ả Rập đều đưa tin này) nhưng họ nghĩ rằng cả hai trẻ hoặc đã chết hoặc đang rên xiết trong cảnh nô lệ ở xứ sở của tên Mahơđi, nơi mà không một ngườidân châu u nào trốn thoát.
Clary, kinek húga a bombayi Rawlison felesége volt, már a kairói úton nagyon megszerette Nelt, így hát igen fájdalmasan érintette a kislány elvesztése.	Ông Clery có người chị lấy ông Rôlixơn ở Bombay, rất yêu thích cô bé Nen trong chuyến đi tới Cairô, cảm thấy vô cùng đau đớn vì bị mất cô bé.
De a talpraesett fiúcskát is igen sajnálták mind a ketten.	Song cả hai ông nói chung cũngchân thành thương tiếc cậu bé cương nghị.
Többször táviratoztak is Mombasából Port Saidba, hogy a gyerekek meg­ke­rültek-e, de az utolsó kedvezőtlen válasz után, mely jóval a karaván elindulása előtt érkezett, végképp elvesztették reményüket.	Đã mấy lần liề n từ Mombaxa họ gửi điện tới ông Rôlixơn để hỏi thăm xem đã tìm thấy bọn trẻ chưa, và mãi cho tới khi nhận được bức điện cuối cùng - điện đến từ trước khi họ lên đường khá lâu - với câu trả lời mang tin buồn, thì cả hai mới mất hi vọng.
Arra még csak nem is gondoltak, hogy a távoli Kartúmban rabságba vetett gyermekek ezen a vidéken bukkannak fel.	Thậm chí họ không hề nghĩ rằng bọn trẻ vốn bị giam ở thành Kháctum xa xôi lại có thể xuất hiện ở vùng này.
Esténként a napi munka elvégzése után azonban gyakran beszélgettek róluk, mert a doktor nem tudta elfelejteni az angyali szép kislányt.	Tuy nhiên, thường thường, về đêm, sau khi kết thúc những công việc ban ngày, họ thường trò chuyện về bọn trẻ, vì bác sĩ không sao quên nổi cô bé xinh xắn tuyệt vời nọ.
Eközben az expedíció egyre tovább nyomult előre.	Trong khi đó, chuyến đi của họ càng ngày càng tiến xa.
A Kilimandzsáró keleti lejtőin hosszabb időt töltöttek, majd megvizsgálták a Szobat és Tana folyók felső folyását, meg a Kenya hegységet, azután észak felé fordultak, s a mocsaras Gvasszó-Nyirón átkelve, terjedelmes, néptelen síkságra jutottak, ahol csak megszámlálhatatlan antilopcsordák tanyáztak.	Sau khi dừng chân một thời gian lâu trêncác sườn phía Đông của dãy núi Kilima Ndarô, sau khi đã khảo sát nguồn sông Xốpbát và Tana cùng ngọn núi Kênia, đại uý và bác sĩ quặt về phía Bắc, rồi sau khi vượt qua vùng Cuaxô Nưirô lầy lội, họ tiến vào một vùng đồng bằng rộng lớn, không cư dân, chỉ có những đàn linh dương không tính xuể sinh sống.
A három­havi utazás után az embereket megillette a pihenés, miért is egy egészséges, bővizű tavacskához érve, Glen kapitány felüttette a sátrakat, s tíznapi pihenőt rendelt.	Sau hơn ba tháng đi đường, cần để cho mọi người được nghỉ ngơi một thời gian dài, vậy nên đại uý Glen - sau khi phát hiện được cái hồ nhỏ nhiều nước, một thứ nước màu nâu nâu nhưng rất lành, liền ra lệnh hạ trại tại đó và tuyên bố nghỉ mười ngày.
A pihenés ideje alatt a fehérek vadászattal, valamint a földrajzi és természetrajzi jegyzetek rendezésével foglalkoztak, a feketék pedig teljesen átadták magukat a számukra mindenkor oly kedves semmittevésnek.	Trong khi dừng chân nghỉ, hai người da trắng thường lo việc săn bắn, chỉnh lại những ghi chép về địa lí và tự nhiên, còn những người da đen thì rong chơi theo đúng sở thích của họ.
Egy napon Clary doktor, amint reggeli sétáját végezte a parton, látta, hogy egy csapat zanzibári egy magas fa tetejét bámulja, s egyre azt hajtogatja:	Một ngày kia, bác sĩ Clery dậy sớm, vừa khi đến bên bờ hồ, ông trông thấy khoảng mươi người Dandiba trong đoàn đang ngước mắt nhìn lên một ngọn cây cao, lặp đi lặp lại một cách luẩn quẩn:
- Ndege?	- Ndege?
Akuna ndege!	Akuna ndege!
Ndege?	Ndege?
- Madár?	(Chim?
Nem madár!	không phải chim!
De madár!	Chim?)
- Hívjátok csak a kapitányt!	- Hãy mời đại uý đến ngay!
- kiáltotta.	- Ông bảo.
De mielőtt a négerek odaértek volna, a kapitány már meg is jelent a sátor előtt, mert antilopvadászatra készült.	Song trước khi những người da đen kịp chạy đến nơi, đại uý đã hiện ra trước cửa lều vì ông đang định đi săn linh dương.
- Nézzed csak, Glen!	- Trông này, anh Glen!
- mondotta a doktor a fa tetejére mutatva.	- Bác sĩ vừa nói vừa trỏ lên cây.
A kapitány feltekintett, kezével ellenzőt formált szeme elé, s éppúgy elcsodálkozott, mint a doktor.	Đến lượt đại uý cũng ngửa đầu nhìn lên, lấy tay che mắt và ngạc nhiên không kém bác sĩ.
- Sárkány!	- Cái diều!
- jelentette ki.	- Ông kêu lên.
- Talán valami fehér telepítvény van a közelben vagy valami misszió?...	- Có lẽ có một cái làng da trắng nào hay một đoàn truyền giáo nào đó đang ở gần đây chăng?...
- Már harmadik napja, hogy nyugatról, vagyis az ismeretlen vidék felől fúj a szél, s az a vidék valószínűleg éppoly lakatlan, mint ez.	- Gió đã thổi từ hướng Tây suốt ba ngày nay rồi, nghĩa là thổi từ phía vùng ta chưa biết, vùng mà hình như cũng không người như cái đồng hoang này vậy.
Különben is, tudod, hogy errefelé sem telepítvény, sem misszió nincsen.	Mà anh cũng biết đấy, vùng này đâu có làng nào, cũng có đoàn truyền giáo nào đâu.
- Csakugyan különös...	- Vậy thì lạ thật nhỉ...
- Feltétlenül le kell venni azt a sárkányt...	- Phải lấy cho được.
A kapitány kiadta a parancsot.	Đại uý ra lệnh.
A fa jó harminc-negyven méter magas lehetett, de a négerek egykettőre felmásztak, óvatosan levették a beakadt sárkányt s átadták a doktornak.	Cái cây cao vài chục mét, nhưng những người da đen trong chớp mắt đã leo lên đến ngọn, cẩn thận lấy cái diều đang bị vướng xuống, đưa cho bác sĩ.
Arca egyszerre csak elváltozott, keze megremegett.	Bỗng nhiên mặt ông biến đổi hẳn, tay run run.
kiket Kartúmból Fazodába, onnan pedig	Bị đưa từ Kháctum đi Phasôđa.
"Ez a sárkány sorrendben az ötvennegyedik, s az ismeretlen tavat környező hegyekből eresztettük fel.	"Cái diều này là cái thứ năm mươi tư, đượ c thả lên từ dãy núi vây quanh cái hồ chưa có tên trong địa lí.
Aki megtalálja, értesítse a Csatorna Társaság igazgatóságát Port Saidban vagy Glen kapitányt Mombasában.	Ai nhặt được xin chuyển cho Công ti Kênh đào ở Port Xaiđơ hoặc cho đại uý Glen ở Momxaba.
Stanisław Tarkowski."	Xtanixoáp Tarcôpxki".
Az utolsó szavak után a két jó barát szótlanul bámult egymásra.	Khi giọng đọc của đại uý đã lặng đi, cả hai người bạn cùng im lặng nhìn nhau.
- Mi ez?	- Cái gì thế này?
- kérdezte végül a doktor.	- Mãi sau bác sĩ Clery mới hỏi.
- Nem hiszek tulajdon szememnek - válaszolta a kapitány.	- Tôi không tin vào mắt mình nữa!
- Pedig nem káprázat!	- Đại uý trả lời.
- Nem!	- Không phải!
- Világos az írás: "Nel Rawlison és Stanisław Tarkowski".	- Rõ ràng viết: "Nenly Rôlixơn và XtanixoápTarcôpxki".
- Egészen világos...	- Thật rõ ràng.
- Valahol ezen a vidéken lehetnek?	- Sao bọn trẻ lại có thể ở vùng này nhỉ?
- Az Isten megmentette őket, alighanem, igen...	- Chúa đã cứu thoát chúng, rất có thể là như thế.
- Hála legyen neki!	- Tạ ơn Người!
- kiáltotta a doktor lelkesen.	- Bác sĩ nhiệt thành kêu lên.
- De hát hol keressük őket?	- Nhưng biết tìm bọn chúng ở đâu bây giờ.
- Más írás nincs a sárkányon?	- Trên diều không còn viết thêm gì nữa à?
- Van még néhány szó, de azon a helyen az ágak szétszaggatták a papírt, bajos kivenni.	- Còn vài chữ nữa nhưng đúng vào chỗ bị cành cây chọc thủng. Khó mà đọc nổi.
Mindketten a sárkány fölé hajoltak, s csak hosszas böngészés után sikerült összeállítaniuk a mondatot.	Cả hai chụm đầu xuống tờ giấy và sau khi nghiên cứu khá lâu, họ mới đánh vần được nổi:
"Az esős évszak régen elmúlt."	- "Mùa mưa qua đã lâu".
- Mit jelenthet ez?	- Thế có nghĩa là gì?
- kérdezte a doktor.	- bác sĩ hỏi.
- Azt, hogy a fiú elvesztette az időérzékét.	- Có nghĩa là thằng bé không còn tính được thời gian nữa.
- S így akarta körülbelül meghatározni az üzenet keltét.	- Và bằng cách này nó muốn báo gần đúng thời gian.
Igazad van.	Anh nó i phải lắm.
Eszerint ezt a sárkányt nem valami régen ereszthették fel.	Và như thế có nghĩa là chiếc diều này mới thả cách đây chưa lâu.
- Ha pedig így van, akkor ők sem lehetnek nagyon messze.	- Nếu đúng như thế thì bọn trẻ ở cách đây không xa!
Még egy darabig tartott ez a lázas, izgatott beszélgetés, aztán ismét mindketten a sárkányt vizsgálták, s minden szót külön megvitattak.	Cuộc trò chuyện sôi nổi đứt đoạn còn kéo dài một chút nữa, rồi hai người bạn lại nghiên cứu cái tài liệu nọ một lần nữa, mỗi người đều nghiền ngẫm riêng mình thật kĩ mỗi lời mỗi chữ ghi trên đó.
A dolog annyira valószínűtlen volt, hogy ha nem itt történt volna, több mint hatszáz kilométernyire a legközelebbi tengerparttól, ahol egyáltalán nincsenek európaiak, a doktor és a kapitány biztosra vették volna, hogy ez valami éretlen tréfa, melyet az újságok híradásai nyomán európai gyerekek vagy valamely misszió növen­dékei követték el.	Song việc này khó tin đến nỗi giá như nó không xảy rađúng vào cái vùng hoàn toàn không có người u sinh sống và cách bờ biển những sáu trăm cây số, thì hẳn bác sĩ và đại uý đã cho rằng đó chỉ là mộttrò đùa không phải lúc mà một bạn trẻ người u nào đó hoặc những đứa con nuôi của một đoàn truyền giáo nào đó đã bày đặt ra sau khi đọc tin về việc bọn trẻ bị bắt cóc qua các báo mà thôi.
Bajos lett volna azonban nem hinniük tulajdon szemüknek, hiszen előttük feküdt a sárkány, s világosan feketéllettek rajta az alig elmosódott szavak.	Song thật khó mà không tin vào chính mắt mình: họ đang cầm cái diều thật trong tay, trên đó nổi rõ lên những hàng chữ màu đen đã hơi bị mờ đi.
Ám még így is sok minden nem fért a fejükbe.	Ấy thế mà nhiều chuyện họ không sao hiểu nổi.
Honnan vették a gyerekek a sárkányokhoz szükséges papírt?	Bọn trẻ kiếm ở đâu ra giấy để làm diều?
Ha valamely karavántól kapták, akkor kétségtelenül ők is odacsatlakoztak volna, s nem kérnének segítséget.	Nếu như có một đoàn thương khách nào đó cho chúng giấy, thì hẳn là chúng đã nhập luôn vào đó và đâu cần xin cứu viện nữa.
Miért nem törekedett a fiú a kislánnyal együtt Abesszíniába szökni?	Vì những lí do gì mà cậu bé không cố gắng cùng với cô bạn đồng hành nhỏ bé của mình chạy trốn sang Abixinia?
Miért küldték őket a dervisek a Nílustól kelet felé, az ismeretlen vidékre?	Vì sao bọn phiếnloạn đày bọn trẻ về phía Đông sông Nin, tới vùng đất chưa ngườ i biết đến?
Hogyan tudtak kiszabadulni őreik kezéből?	Làm cách nào chúng có thể thoát khỏi tay bọn canh giữ?
Hol rejtőztek el?	Chúng ẩn náu ở đâu?
Milyen csoda folytán nem pusztultak éhen a hónapokig tartó utazás során, vagy nem lettek a vadállatok martalékává?	Bằng phép màu nhiệm nào mà suốt hàng tháng trời đi đường ròng rã chúng không bị chết đói, không làm mồi cho dã thú?
Hogyan nem gyilkolták le őket a bennszülöttek?	Vì sao những người dã man không giết chúng?
Mindezekre a kérdésekre nem találtak feleletet.	- Tôi không hiểu gì cả, tôi không thể hiểu gì cả!
- Nem értem! Nem értem!	- Bác sĩ Glery lặp đi lặp lại.
- ismételgette Clary doktor.	- Họa chăng đó là sự kì diệu của Chúa.
- Ez csak Isten csodája!	- Chắc chắn là thế.
- Kétségtelen - helyeselt a kapitány.	- Đại uý đáp.
Majd hozzátette:	Rồi ông nói thêm:
- Hanem az a fiú!	- Nhưng cả cái thằng bé ấy nữa chứ!
- Nem hagyta el a kicsit.	- Nó đã không bỏ rơi con bé!
Az Isten áldja meg érte eszét és szemét.	Cầu Chúa ban phước lành cho cái đầu và đôi mắt của chú bé!
- Stanley, maga Stanley három napig sem élt volna, ilyen körülmények között!	- Xtanlây, thậm chí cả Xtanlây cũng không thể sống nổi quá ba ngày trong những điều kiện như thế.
- S ők mégis élnek!	- Ấy thế mà bọn trẻ lại sống nổi.
- De segítséget kérnek.	- Và chúng đang cầu cứu.
Tüstént indulunk!	Lên đường ngay lập tức!
Úgy is történt.	Và họ làm đúng thế.
Útközben a két jó barát tovább vizsgálgatta a sárkányt abban a reményben, hogy találnak rajta valami útmutatást, hogy merre menjenek.	Dọc đường hai người bạn lại nghiên cứu tài liệu một lần nữa, vì họ tin rằng có thể tìm thấy trong đó lời chỉ dẫn về phương hướng mà họ cần phải đi để cứu bọn trẻ.
De nem találtak semmit.	Nhưngkhông có chỉ dẫn nào hết.
A kapitány zegzugosan vezette a karavánt, remélve, hogy valami nyomra talál, kihamvadt tűzhelyre vagy fa kérgébe vésett jelre.	Đại uý dẫn đoàn đi theo đường dích dắc với hi vọng là có thể gặp một đống lửa đã tắt hoặc những dấu hiệu nào đó khắc lên vỏ cây.
Így haladtak néhány napig.	Họ cứ đi như thế mấy ngày liền.
Szerencsétlenségükre teljesen fátlan síkságra értek, melyet csak száraz fű borított.	Không may, sau đó họ tiến vào một vùng đồng bằng hoàn toàn không có cây cối gì, chỉ phủ đầy những bụi thạch thảo cao và những lùm cỏ khô khốc.
A két jó barát már nyugtalankodni kezdett.	Nỗi lo lắng bắt đầu hành hạ hai ngườ i bạn.
Mit sem használtak a bádogdobozokba rejtett s a fűhalmokon hagyott cédulák, sem az éjszakánként meggyújtott tüzek.	Nhữ ng cái lon đựng giấy để lại trong các bụi cây cũng như những đống lửa ban đêm không hề giúp gì.
A kapitány és a doktor olykor már minden reményüket elvesztették, hogy a gyerekeket felkutathatják, különösen pedig, hogy élve találják meg őket.	Đại uý và bác sĩ đôi khi đã bắt đầu thấy mất hi vọng, không hiểu liệu có tìm thấy bọn trẻ hay không, nhất là có tìm thấy chúng cò n sống hay không.
Mindazonáltal a következő napokon is buzgón kutattak.	Tuy nhiên, họ vẫn tìm kiếm một cách nhiệt thành suốt mấy ngày nữa.
A kiküldött járőrök végül jelentették, hogy távolabb már teljesen víztelen síkság kezdődik.	Cái khe thực ra chỉ là một hẽm sâu chừng mươi mét và rất hẹp.
A szakadék tíz méter mély és viszonylag keskeny hasadék volt, melyből szénsavval telített, forró víz buzgott fel.	Nguồn nước dồi dào đến nỗi cả ba trăm người trong đoàn cũng không thể khiến nó cạn được.
A víz lehűtés után élvezetes és egészséges volt, a forrás pedig oly bősé­ges, hogy a karaván háromszáz embere sem bírta kimeregetni.	Ngược lại, họcàng lấy nhiều nước bao nhiêu thì nguồn lại càng phun mạnh bấy nhiêu và khiến cho khe càng đầy hơn nhiều.
Sőt minél többet meregették, annál erősebben buzgott, s annál jobban megtöltötte a hasadékot.	- Cũng có thể với thời gian vù ng này sẽ thành một nơi chữa bệnh, - bác sĩ Clery nói.
- Lehet, hogy idők múltán itt valami gyógyfürdő lesz - vélte a doktor -, jelenleg azonban a forrást az állatok sem közelíthetik meg, mert a szakadék partja nagyon meredek.	Nhưng hiện nay thì bọn thú không uống được nước này vì hai sườn khe quá dốc.
- Vajon a gyerekek is rábukkanhatnak ilyen forrásokra?	- Liệu bọn trẻ có tìm ra được một nguồn nước tương tự như thế này không nhỉ?
- kérdezte a kapitány.	- Đại uý hỏi.
- Nem tudom.	- Không rõ.
Lehet, hogy több ilyen van ezen a vidéken, de ha nincs, akkor szomjan kell pusztulniuk.	Nhưng nếu không thì bọn trẻ chết mất vì thiếu nước.
Eljött az éjszaka.	Đêm đến.
Meggyújtották a csenevész tüzeket, de bómát nem építettek, mert nem volt miből.	Họ đốt lên những đống lửa heo hắt mặc dù không dựng hàng rào chắn vì chẳng biết dựng bằng gì.
Estebéd után a doktor és a kapitány leültek vadászszékeikre, s pipára gyújtva beszélgettek arról, ami leginkább a szívükön feküdt.	Sau khi ăn tối, bác sĩ và đại uý ngồi trên những chiếc ghế gấp và vừa hút thuốc vừa trò chuyện về những điều đang đè nặng nhất lên trái tim họ.
- Semmi nyom!	- Không có lấy một dấu vết nào hết!
- szólalt meg Clary.	- Ông Clerythốt lên.
- Én már arra gondoltam - felelte a kapitány -, hogy el kellene küldeni tíz embert a tenger­parthoz a távirattal, hogy a gyerekek életjelt adtak magukról.	- Mình đã định, - Glen đáp, - phái mươi người của chúng ta đi đến biển để đánh điện báo là đã có tin bọn trẻ.
De örülök, hogy nem tettem meg, mert az emberek valószínűleg elpusztultak volna útközben, de ha nem, akkor is minek keltenénk hiábavaló reményeket...	Nhưng thật mừng là mình đã không làm việc đó, vì chắc là những người này sẽ chết dọc đường, mà nếu họ có đến nơi được chăng nữa thì khuấy lên cái hi vọng hão huyền mà làm gì...
