Vörös és fekete	ĐỎ VÀ ĐEN (Tập 1)
A valóságban őrülten szerelmes volt belé.	Thực sự, anh yêu bà mê mẩn.
Különös boldogságot talált benne, ha, mikor teljesen egyedül volt és nem kellett háborgatástól tartania, egészen átadhatta magát ama boldog napok emlékének, melyeket egykor Verrièresben vagy Vergy-ben töltött.	Anh thấy sung sướng lạ thường, khi tuyệt đối một mình một bóng, và không sợ có ai đến quấy rối, anh được dốc lòng tưởng nhớ những ngày hạnh phúc anh đã được sống ngày xưa ở Verrières hay ở Vergy.
E nagyon is hamar tovatűnt idők minden legkisebb eseménye ellenállhatatlan üdeséggel és varázszsal elevenedett meg előtte.	Mỗi sự kiện nhỏ nhặt của những thời đã vút bay quá nhanh chóng đó, đối với anh đều có một vẻ tươi tắn và một vẻ mê ly không sao cưỡng nổi.
Matild féltékenysége részben megsejtette e napról-napra erősbödő lelkiállapotot.	Những tâm hướng càng ngày càng tăng lên nhanh chóng đó, lòng ghen của Mathilde có hơi đoán được đôi phần.
Nagyon jól észrevette, hogy harczolnia kell a magány szeretetével.	Cô thấy rất rõ là cô phải phấn đấu chống với sự yêu thích được cô đơn.
Néha irtózattal fölemlítette de Rênal-nét.	Đôi khi, cô hãi hùng nói đến tên bà de Rênal.
Látta, hogy Julien megremeg.	Cô thấy Julien rùng mình.
Ettől fogva szenvedélye nem ismert se határt, se mértéket.	Thế là từ đó mối tình mê đắm của cô không còn giới hạn, không còn chừng mực nào nữa.
Ha meghal, utána halok, - szólt magában, a lehető legnagyobb jóhiszeműséggel.	Nếu chàng chết, ta sẽ chết liền theo, cô tự nhủ với tất cả tấm lòng thành thật hết sức.
- Mit szólnának a párisi szalonok, ha látnák, hogy egy rangombeli leány ennyire bálványoz egy halálra szánt szerelmest?	Các phòng khách của Paris sẽ nói sao, khi thấy một người con gái ở cấp bậc của ta, say mê đến độ ấy một tình lang đã tận số?
A leghevesebb elragadtatások közepett, mikor Julien fejét szívéhez szorította: - Hogyan!	Giữa những cơn cuồng nhiệt nồng nàn nhất, khi cô ôm ghì đầu Julien vào lòng: Ôi!
- szólt magában elborzadva, - ez a gyönyörű fej arra volna ítélve, hogy lehulljon!	Cô kinh khủng nghĩ thầm, cái đầu đáng yêu này sẽ phải rụng xuống!
Nos hát!	Thế thì!
- tette hozzá hősi föllobbanással, mely nem volt boldogság nélkül, - huszonnégy óra sem telik bele és ajkaim, melyek e szép fürtökhöz tapadnak, kihűltek.	Cô nói thêm, bừng bừng một khí thế anh hùng không phải là không làm cho cô sung sướng, đôi môi của ta, đương ấp vào mái tóc xinh đẹp này, sẽ lạnh giá không đầy hai mươi bốn giờ sau.
E hősi pillanatok és a borzalmas kéj emléke leküzdhetetlen szorítással fogták át.	Mỗi khi nhớ đến những giây phút hào hùng và khoái lạc rùng rợn đó, cô như bị những kỷ niệm ấy ràng buộc chặt chẽ không sao gỡ nổi.
Az öngyilkosság eszméje, mely annyira tudja foglalkoztatni az embert és a mely eddig oly távol volt e büszke lélektől, most behatolt beléje és csakhamar föltétlen uralomra jutott.	Cái ý nghĩ tự tử, vốn tự nó là một mối băn khoăn lớn, và từ trước đến nay chưa bén đến tâm hồn cao ngạo kia, bây giờ thấm vào tâm hồn đó, và chả mấy chốc ngự trị trong đó với một uy lực tuyệt đối.
- Nem, őseim vére nem aludt meg benne, - mondá magában Matild kevélyen.	— Tôi xin cô ban cho tôi một ân huệ, một hôm tình lang nói với cô.
- Egy kegyet kérek öntől, - szólt hozzá egyízben szerelmese, - adja gyermekét Verrières-ben dajkaságba; de Rênal-né majd fölügyel a dajkára.	Cô hãy gửi con cho vú nuôi ở Verrières, bà de Rênal sẽ trông coi người vú nuôi.
- Nagy kegyetlenség, hogy így beszél... - És Matild elsápadt.	— Anh nói với em điều đó, thật là ác... Và Mathilde tái mặt đi.
- Igaz, és könyörgök, bocsáss meg, - kiáltott fel Julien fölocsúdva álmodozásából és karjai közé szorítva Matildot.	— Ờ nhỉ, anh muôn ngàn xin lỗi em, Julien, bừng tỉnh giấc mơ màng, kêu lên và ôm lấy cô.
Miután fölszárította könnyeit, visszatért ötletéhez, de ügyesebben.	Sau khi đã chùi nước mắt cho cô, anh lại trở về ý nghĩ cũ, nhưng khôn khéo hơn.
A társalgásnak búskomor bölcseleti fordúlatot adott.	Anh đã cho câu chuyện câu trò một chiều hướng triết lý u sầu.
Arról a jövőről beszélt, mely reá nézve oly gyorsan be fog záródni.	Anh nói về bước đường tương lai sắp sửa khép lại đối với anh.
- El kell ismernünk, kedves barátnőm, hogy a szenvedély véletlen baleset az életben, de e baleset csak a kiváló lelkekkel történik meg... Fiam halála boldoggá tenné az ön családjának gőgjét és a szolgák ezt meg fogják sejteni.	- Phải công nhận, em yêu quý ạ, rằng tình mê đắm là một biến cố trong đời sống, mà biến cố đó chỉ gặp thấy ở những tâm hồn ưu việt... Cái chết của con anh, thực ra sẽ là một điều may phúc cho sự kiêu hãnh của gia đình em, bọn người hạ thuộc sẽ đoán như vậy.
Az elhanyagolás lesz az osztályrésze a szerencsétlenség és a szégyen e gyermekének... Reménylem, hogy eljön az idő, a mit nem akarok közelebbről megjelölni, de a minek bekövetkezését bátorságom előre látja, a mikor engedelmeskedni fog végső rendelkezéseimnek: Nőül megy de Croisenois marquishoz.	Sự rẻ rúng sẽ là số phận đứa con của tai họa và sỉ nhục... Anh mong rằng tới một thời kỳ mà anh không muốn ấn định, nhưng lòng can đảm của anh, em sẽ lấy chàng hầu tước de Croisenois.
- A becstelenség nem vehet erőt oly néven, mint az öné.	— Sự ô nhục không có thể nào bén được đến một cái tên tuổi như của em.
Ön özvegy lesz, még pedig egy bolondnak az özvegye, ez az egész.	Em sẽ là một người quả phụ và quả phụ của một thằng điên, có thế thôi.
Sőt tovább megyek: vétkem, minthogy nem pénz volt az indítója, nem is lesz megbecstelenítő.	Anh sẽ đi xa hơn nữa; tội ác của anh, vì không do đồng tiền làm động cơ, nên sẽ không điếm nhục.
Talán akkorra valamely bölcsész törvényhozó kinyeri kortársai előítéleteitől a halálbüntetés eltörlését és akadhat egy baráti hang, mely példakép fogja idézni: Lássák, de La Mole kisasszony első férje bolond volt, de nem volt se rossz ember, se gonosztevő.	Bấy giờ một tiếng nói cảm tình nào đó sẽ kể như một cái ví dụ: Đây này, người chồng trước của cô de La Mole là một anh chàng điên, nhưng không phải là một con người xấu bụng, một đứa gian ác. Làm rụng cái đầu ấy, thật đã vô lý.
Csak születésére és bátorságára hívatkozhatik és e kettő, a mi 1729-ben elégséges volt, hogy valaki tökéletes ember számba menjen, egy századdal utóbb már anachronismus és csak igényeket fejleszt.	Chàng ta chỉ có dòng dõi và trí dũng cảm, mà cứ riêng những đức tính đó, hồi 1729 còn làm thành một con người hoàn toàn, một thế kỷ sau đã trở thành một trò lỗi thời, và chỉ cho người ta có những kỳ vọng hão huyền, cần phải có những cái khác nữa để đứng hàng đầu thanh niên nước Pháp.
Még más dolgok is kellenek, hogy valaki a franczia ifjúság élére állhasson.	Em sẽ đem một tính khí cương nghị và đại đảm tới giúp cho cái chính đảng mà em đã đẩy chồng em vào.
Ön a szilárd és tettrekész jellem segítségével fogja gyarapítani azt a politikai pártot, melybe férjét beleviszi.	Em sẽ có thể kế tiếp cho những Chevreuse và những Longueville của thời loạn ném đá .
Követheti a Fronde Cherveuse és Longueville asszonyainak példáját... Csakhogy akkor, drága barátnőm, az égi tűz, mely most hevíti, egy kissé meg lesz lankadva.	Nhưng khi đó, em yêu quý ạ, ngọn lửa thiêng liêng bừng bừng trong em hiện nay, sẽ hơi nguội lạnh đi đôi chút.
Engedje meg, hogy kimondjam, - tette hozzá sok más előkészítő mondat után, - tizenöt év múlva úgy fog gondolni a szerelemre, mit irántam érzett, mint valami őrültségre, a mi megbocsátható ugyan, de mégis őrültség...	Cho phép anh được nói với em điều này, anh nói thêm sau rất nhiều câu rào đón, trong mười lăm năm nữa, em sẽ coi như là một cơn điên cuồng đáng miễn thứ, nhưng dẫu sao vẫn là điên cuồng, mối tình mà em đã có đối với anh...
Hirtelen elhallgatott és merengővé változott.	Anh bỗng dừng lại và trở nên mơ màng.
Újból az előtt a gondolat előtt állott, mely oly bántó volt Matildra: Tizenöt év múlva de Rênal-né bálványozni fogja fiamat, ön pedig megfeledkezett róla.	Anh lại thấy sừng sững trước mắt cái ý kiến mà Mathilde lấy làm rất chướng: Trong mười lăm năm nữa, bà de Rênal sẽ yêu quý con của anh, mà em thì đã quên nó rồi.
A NYUGALOM.	SỰ YÊN ỔN
Mert bolond voltam, vagyok most okos.	Chính vì hồi đó ta điên mà hiện nay ta sáng suốt.
Óh, bölcsész, a ki mindig csak a pillanatnyit látod, mily kurtára terjednek szempontjaid!	Hỡi nhà triết lý chỉ trông thấy cái chốc lát, sao mà tầm con mắt của người ngắn ngủi vậy!
Tekinteted nem tudja követni a szenvedélyek földalatti munkáját.	Mắt người không có khả năng theo dõi tác động ngầm của những mối tình cuồng nhiệt.
Goethe.	W. GOETHE
E beszélgetést kihallgatás szakította meg, a melyre a védőügyvéddel való értekezés következett.	Cuộc chuyện trò đó bị ngắt bởi một cuộc thẩm vấn, tiếp theo là một cuộc hội đàm với trạng sư phụ trách bào chữa.
Ezek voltak egy gondtalan és gyöngéd álmadozással tele élet egyedül tökéletesen kellemetlen pillanatai.	Những giây phút đó là những giây phút duy nhất tuyệt đối khó chịu của một đời sống đầy vô tư lự và mơ mộng êm đềm.
- Gyilkosságról van szó, még pedig előre megfontolt gyilkosságról, - mondá Julien, úgy a bírónak, mint az ügyvédnek.	Có chuyện giết người, và giết người có dự mưu, Julien nói với viên dự thẩm cũng như với trạng sư.
- Sajnálom, uraim, - tette hozzá mosolyogva, - de ez nagyon egyszerűvé teszi az önök dolgát.	Tôi lấy thế làm phiền lòng, thưa các ngài, anh mỉm cười nói thêm; nhưng thế này thì công việc của các ngài chả còn gì mấy.
Mindenek után is, - szólt magában Julien, mikor sikerült megszabadulnia a két embertől, - bátornak kell lennem, bizonynyal bátrabbnak, mint a milyen ez a kettő.	Dẫu sao, Julien tự nhủ, khi anh đã giũ thoát được hai con người kia, ta cần phải dũng cảm, và ra mặt dũng cảm hơn hai người đó.
Mint a bajok tetőzését, mint az iszonyatok királyát nézik ezt a szerencsétlenül végződő párbajt, a melylyel én majd csak a maga napján foglalkozom komolyan.	Họ coi như cái tai họa cùng cực, như nỗi kinh hoàng tối thượng, cuộc quyết đấu kết cục là bại vong kia, mà chỉ đến ngày đó ta mới sẽ lo đến một cách đứng đắn.
Azért, mert volt részem nagyobb szerencsétlenségben is.	Ta đã đau khổ hơn nhiều trong chuyến đi Strasbourg lần đầu, khi ta tự cho là bị Mathilde bỏ rơi.
Az ügyvéd, szabályoknak és formaságoknak az embere, őrültnek vélte és a közönséggel együtt úgy gondolkodott, hogy a féltékenység adta kezébe a pisztolyt.	Ông trạng sư, vốn người quy củ và thể thức, cho là anh điên và đồng ý với công chúng rằng chính lòng ghen tuông đã đặt khẩu súng vào tay anh.
Egyízben megkoczkáztatta Julien előtt, hogy ez a körülmény, akár valóság, akár nem, kitűnő alap volna a védelemre.	Một hôm, ông ta đánh liều thử nói cho Julien hiểu rằng cái lý lẽ đó đưa ra, dù đúng hay sai, cũng sẽ là một phương tiện bào chữa rất tốt.
A vádlott azonban egy szempillantás alatt szenvedélyes és fenyegető kifejezést öltött.	Nhưng bị cáo, chỉ trong nháy mắt, trở lại thành một con người cuồng nhiệt và băm bổ.
